document_id,snippet_id,snippet,group_folder,code_lev0,code_lev1,code_lev2
Use of vegetation sampling and analysis to detect a problem within a portion of a prairie restoration project,Reference 3,"Native and restored prairies exist in Missouri and Illinois. However, a literature search did not retrieve any published work from these areas on comparable vegetation sampling and analysis, or FQI values. Time and funding did not allow for travel to a native prairie, such as Tucker Prairie, in central Missouri to take reference data. Therefore, there is no prairie area to use as a reference. Comparisons between plots are very valuable and in fact show deﬁciencies in subarea 2C as well as demonstrating effects of ﬁre and rainfall.",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Fractional veg. cover
Use of vegetation sampling and analysis to detect a problem within a portion of a prairie restoration project,Reference 4,The impacts of ﬁre and rainfall demonstrate that a reference area would have to be measured in multiple years to include these variables.,d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Fractional veg. cover
Use of vegetation sampling and analysis to detect a problem within a portion of a prairie restoration project,Reference 5,"In subarea 1C, Native Cover generally increased over 5 years, while Non-Native Cover generally decreased. Since a NonNative grass is a signiﬁcant portion of the Cover in subarea 1C, this could be an indicator of a gradual maturation of the prairie over time. Five years of quantitative data are unique for the area. A longer quantitative dataset to follow progress would be particularly valuable for restoration practitioners.",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Fractional veg. cover
Using turf transplants to reintroduce native forest understory plants into smelter-disturbed forests,Reference 1,tree cover,d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Fractional veg. cover
The colors of heath flowering - quantifying spatial patterns of phenology in Calluna life-cycle phases using high-resolution drone imagery,Reference 1,The mean deviation between reference point proportions and the modeled grid values can be described using the root mean squared error (RMSE). The best surface ﬁt is given for fruit proportion (RMSE = 11.69%) and vegetative shoots (RMSE = 12.18%). Due to an observed mixture between,Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Reproductive development
The colors of heath flowering - quantifying spatial patterns of phenology in Calluna life-cycle phases using high-resolution drone imagery,Reference 2,"phenological variation by means of natural selection are still not clearly understood for natural populations (Kochmer and Handel 1986; Pors and Werner 1989; Ehrl~en 2015). Tracing spatial patterns of UAV plant unit phenology in time could contribute to a better understanding of phenological assortative mating by mapping mating opportunities. In that respect, research into the intensity, prevalence and consequences of mating between individuals within similar ﬂowering times is still in its infancy (Fox 2003; Weis et al. 2005). The methodology developed in this study can further be used to map spatial patch dynamics ofﬂowering aspects that determine the availability of habitats for insect pollination.",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Reproductive development
Using lightweight unmanned aerial vehicles to monitor tropical forest recovery,Reference 1,ability to predict the abundance of frugivorous birds,Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Wildlife habitat quality
Monitoring Geomorphic and Traditional Post-Mine Reclamation using Digital Imagery~ Vegetative Heterogeneity and Sampling Efficiency,Reference 1,"LPI not only estimated richness and cover, but also provided data for vegetation height and canopy structure, measures relevant for assessment of wildlife habitat and bond release ( Miller and Hobbs, 2007 ).",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Wildlife habitat quality
3D-CNN based UAV hyperspectral imagery for grassland degradation indicator ground object classification research,Reference 1,"The classification accuracy of the GDIF-3D-CNN model is good for constructive species and dominant species, which play a controlling role in degraded grasslands",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Aboveground biomass estimation of wetland vegetation at the species level using unoccupied aerial vehicle RGB imagery,Reference 1,"The validation results showed that the overall accuracy was more than 90.7%. Z. latifolia had fewer misclassiﬁcations and omission classiﬁcations, with both the PA and UA exceeding 90%, which was considered to meet the experimental requirements of subsequent AGB inversion.",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Aboveground biomass estimation of wetland vegetation at the species level using unoccupied aerial vehicle RGB imagery,Reference 2,"The quadratic model constructed by CIVE had the highest modeling R2 (0.79) which was higher than that of the quadratic model constructed by ExG (0.78) and COM2 (0.75). According to the accuracy validation results in Figure 6, CIVE was the best vegetation index for the AGB inversion of Z. latifolia. The",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
"Evaluating techniques for mapping island vegetation from unmanned aerial vehicle (UAV) images~ Pixel classification, visual interpretation and machine learning approaches",Reference 1,"Each of the vegetation mapping approaches had a comparable accuracy; for a selected weed management and planting area, the overall accuracies were 82 %, 91 % and 85 % respectively for the pixel based image classiﬁcation, the visual interpretation / digitisation and the CNN machine learning algorithm. At the",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
"Evaluating techniques for mapping island vegetation from unmanned aerial vehicle (UAV) images~ Pixel classification, visual interpretation and machine learning approaches",Reference 2,"To capture the same level of complexity as the pixel-based map, which had ﬁve vegetation classes, an equal amount of eﬀort would need to be invested in the visual interpretation and manual digitisation of other types of vegetation, which",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
"Evaluating techniques for mapping island vegetation from unmanned aerial vehicle (UAV) images~ Pixel classification, visual interpretation and machine learning approaches",Reference 3,"Finally, the illumination in the diﬀerent photographs varied across the whole island, making some of the plants diﬃcult to detect. This confounding eﬀect could be mitigated by planning UAV survey times to coincide with solar zenith, so that shadows and ambient light variability are minimised (Mather and Koch, 2011).",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Mapping Key Indicators of Forest Restoration in the Amazon Using a Low-Cost Drone and Artificial Intelligence,Reference 1,"Vismia automatic delineation was not accurate, but its canopy area was accurately mapped.",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Mapping Key Indicators of Forest Restoration in the Amazon Using a Low-Cost Drone and Artificial Intelligence,Reference 2,"This study performed instance segmentation processes, where Mask R-CNN was used. Although the Mask R-CNN training process is slow [28,37], this disadvantage will not be an issue if no more samples are needed.",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Multi-Sensor UAV Tracking of Individual Seedlings and Seedling Communities at Millimetre Accuracy,Reference 1,Object-based Image Analysis (OBIA) classiﬁcation eﬀectively and accurately discriminated among target and non-target seedling objects and these groups exhibited distinct spectral signatures (six diﬀerent visible-spectrum and multispectral indices) that responded diﬀerently over a 24-day drying period.,Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Multi-Sensor UAV Tracking of Individual Seedlings and Seedling Communities at Millimetre Accuracy,Reference 2,"Target and non-target seedlings exhibited distinctly diﬀerent visible-spectrum and multispectral signatures, diﬀered statistically signiﬁcantly in every spectral index examined and their spectral signatures behaved diﬀerently over the course of the drying phase of the experiment (Figure 3). These diﬀerences allowed for the discrete and accurate tracking of object groups both spatially and temporally and for the measurement of spectral index values as indicators of plant performance independently for each group.",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Using Unmanned Aerial Vehicles to assess the rehabilitation performance of open cut coal mines,Reference 1,The classification of trees > 2 m revealed high user and producer accuracies for the second and third images (>88%).,Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Using Unmanned Aerial Vehicles to assess the rehabilitation performance of open cut coal mines,Reference 2,"The main reason for this was the poor quality of the point cloud generation and derived DSM, which prevented several trees from being automatically mapped.",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Using Unmanned Aerial Vehicles to assess the rehabilitation performance of open cut coal mines,Reference 3,"However, flying lower and slower will compromise the size of the area that can be covered within one flight, with the overall data collection process taking longer",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Using Unmanned Aerial Vehicles to assess the rehabilitation performance of open cut coal mines,Reference 4,"This will also increase the likelihood of introducing cloud shadows and differing illumination characteristics into the imagery because of the movement of the sun throughout the flight operation (Johansen et al., 2018; McKenna et al., 2017b). It may also prevent required flights from being undertaken around solar noon and hence will increase shadows from trees and other features above ground level, which may require shadows to be masked to improve mapping accuracies (McKenna et al., 2017b).",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Adaptive Cluster Sampling in the Context of Restoration,Reference 1,This study shows that reliable abundance estimation for patchily distributed populations can be difﬁcult under conventional sampling designs.,d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Adaptive Cluster Sampling in the Context of Restoration,Reference 2,"Predicted sample size in the SRS far exceeded the ﬁnal adaptive cluster sample size (compare Tables 1 and 3). Surprisingly ACS outperformed SRS only for select populations. One reason for the equivocal result may be that lupine was often scarce within networks, limiting the degree of possible aggregation and the amount of within-network variance. The ACS strategy will estimate abundance less precisely for diffuse clusters (Christman 1997), and each lupine population showed a low dispersion index (either <1.0 or 0.3–0.4, see Table 3) suggesting loose aggregations. Geographically rare populations in small clusters (low abundance) may have smaller within-network variance than found in larger clusters (Noon et al. 2006), reducing the efﬁciency of ACS.",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Adaptive Cluster Sampling in the Context of Restoration,Reference 3,"and the clusters are few and far between, ACS should capture a higher fraction of individuals in the population (Smith et al. 2004). Land managers naturally want to see the sampling focus where the target species is most abundant. Unfortunately, better detection rate does not necessarily provide more precise estimates (Noon et al. 2006; Goldberg et al. 2007).",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Comparing survey methods for monitoring vegetation change through time in a restored peatland,Reference 1,"When the Sphagnum mosses succeed to dominate the carpet (usually [5 years post-restoration), two observations can be made: (1) When the Sphagnum capitula are fully developed and prominent with their colour, they are well detected by both methods and (2) with the development of the dominant Sphagnum carpet, we",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Non-native plant removal and high rainfall years promote post-fire recovery of Artemisia californica in southern California sage scrub,Reference 1,"Nevertheless, we did not find significant effects ofnon-native removal on seedling emergence. One important caveat is that our data provided low power to test for such PLOSONE | https://doi.org/10.1371/journal.pone.0254398 July 22, 2021 8 / 16 PLOS ONE Non-native plant removal and rainfall promote post-fire California sage shrub recovery Fig 2. Seedling densities as measured in June of each year, for control (black circles) and non-native removal (green triangles) treatments. The lines represent annual mean values for control (black dotted) and removal (green solid). Seedling densities are shown on a square-root- transformed scale to reduce the distortion by outliers, but our statistical analysis used non-parametric permutation tests on the untransformed data. Control and non-native removal plots were sampled on equivalent dates each year; the series are offset to facilitate visual comparison. https://doi.org/10.1371/journal.pone.0254398.g002 effects because ofhigh variation in seedling emergence among a modest number ofplots and years (Fig 2).",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Recovery of vegetation on former alpine roads~ how long does it take~,Reference 1,"Excluding bryophytes and lichens from the species composition and richness indicators was, however, a pragmatic decision: determining bryophytes and lichens to the species level – particularly shortly after the restoration treatment – is time consuming and requires specific competence, and thus would increase costs of monitoring substantially.",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Using turf transplants to reintroduce native forest understory plants into smelter-disturbed forests,Reference 1,indicators,d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Indicator plants
Automatic Identification of Shrub-Encroached Grassland in the Mongolian Plateau Based on UAS Remote Sensing,Reference 1,"The accuracy results showed that there were 25 and 15 commissions in TSA and DSA respectively, and the extraction accuracy of the DSA was signiﬁcantly higher than that of the TSA, which may be due to the more complex shrub distribution in typical grasslands, as shown in Table 6. Table 6. Accuracy of CODA shrub identiﬁcation results in the TSA and DSA. Location Recognized Count Sample Count Commission Count Accuracy TSA 576 DSA 2518 200 200 25 15 87.5% 92.5%",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Automatic Identification of Shrub-Encroached Grassland in the Mongolian Plateau Based on UAS Remote Sensing,Reference 2,"From the above analysis, CODA can make up for the deﬁciency of OOF and DSM-DTM in shrub identiﬁcation. In this study, three kinds of interference factors were extracted: bare highland/rocks, depression, and highland, respectively (Figure 9): (1) Bare highland/rocks: bare surface protrusions can interfere with the results of DSM-DTM algorithm, but can be easily eliminated by OOF. (2) Depression: small pieces of grasslands in terrain-depression often means better hydrological conditions, so its ExG-ExR value always seems larger, which will interfere with the results of OOF. While no protrusions will be formed in the DSM-DTM in terrain-depression area this kind of interference can be eliminated. (3) Highland: these kind of surface protrusions tend to have a small slope in edges, so they can be ﬁltered by the ratio of the maximum height to the area (µ ﬁlter in this paper). Therefore, the above several interference factors are eﬀectively extracted in the algorithm (CODA) proposed in this study, so the results are more in line with the real situation.",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Automatic Identification of Shrub-Encroached Grassland in the Mongolian Plateau Based on UAS Remote Sensing,Reference 3,"1) Regional Statistics: For the shrub-encroached grassland, in addition to counting the number of shrubs, it can also be analyzed through various aspects such as shrub area statistics and shrub size statistics. The shrub sizes and shrub areas, to some extent, reﬂect the stage of the process of shrub-encroached process. Under the same climatic conditions, generally smaller shrubs probably mean that the beginning time of shrub-encroachment in this area is relatively short. Also, the diﬀerence in shrub size and shrub area may also indicate that grassland pressure in this area is more persistent than that in areas with less diﬀerence.",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Development of an Automated Monitoring Platform for Invasive Plants in a Rare Great Lakes Ecosystem Using Uncrewed Aerial Systems and Convolutional Neural Networks,Reference 1,"Characteristics of invasive plant species that facilitate their mapping through remote sensing include their tendency to have phenological windows distinct from native counterparts and their capacity to grow vigorously, produce a great amount of biomass, dominate the canopy of the strata they occupy, and form extensive monospecific stands [8, 11]. One of the main attributes of invasive plants that imparts a competitive advantage compared to native species is their tendency to have longer growing seasons; invasives typically green-up earlier in the spring and retain their photosynthetic foliage later in the growing season [8, 11].",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Development of an Automated Monitoring Platform for Invasive Plants in a Rare Great Lakes Ecosystem Using Uncrewed Aerial Systems and Convolutional Neural Networks,Reference 2,"The structural contrast between these two invasive species and the native species and the ecosystem they are infesting facilitates their identification through remote sensing techniques. To test the robustness of our methodology, we recommend evaluating these species across a greater range of sites and ecosystems to capture regional variability of these invasive species as well as the ecosystems they are invading. In addition, we propose evaluating additional invasive plant species that are less distinct from their biotic and abiotic surroundings.",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Development of an Automated Monitoring Platform for Invasive Plants in a Rare Great Lakes Ecosystem Using Uncrewed Aerial Systems and Convolutional Neural Networks,Reference 3,"Higher altitude flights take less time, use less battery power, generate less data, and can cover more area in the same time than lower altitude flights. However, the imagery collected from these flights can be harder to interpret during the annotation phase. Lower resolution imagery from higher altitude flights can be utilized if the targeted vegetation is sampled during the phenological phase when the species is at its most distinct from native vegetation [8].",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Development of an Automated Monitoring Platform for Invasive Plants in a Rare Great Lakes Ecosystem Using Uncrewed Aerial Systems and Convolutional Neural Networks,Reference 4,Our automated monitoring platform represents a novel method for using UAS and machine learning to efficiently and accurately monitor invasive plant species within a rare and Great Lakes endemic coastal ecosystem.,Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Development of an Automated Monitoring Platform for Invasive Plants in a Rare Great Lakes Ecosystem Using Uncrewed Aerial Systems and Convolutional Neural Networks,Reference 5,"With continued annotation and addition of species into digital libraries, we are confident that our CNN will increase in performance as species level",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Unmanned Aircraft System Photogrammetry for Mapping Diverse Vegetation Species in a Heterogeneous Coastal Wetland,Reference 1,"While this mapping procedure was less successful in capturing the spatial extent ofthese species compared to the native ones, the species maps showed general agreement on the spatial location of the larger invasive communities. For further application of this method, we recommend investigation into variables that can improve the classification of these invasive species due to their importance in evaluating restoration efforts.",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Using Uncrewed Aerial Vehicles for Identifying the Extent of Invasive Phragmites australis in Treatment Areas Enrolled in an Adaptive Management Program,Reference 1,introduced European genotype of Phragmites australis,Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Using Uncrewed Aerial Vehicles for Identifying the Extent of Invasive Phragmites australis in Treatment Areas Enrolled in an Adaptive Management Program,Reference 2,"Whereas more traditional, ﬁeld-based surveys can often be labor-intensive and difﬁcult to complete in remote areas, UAVs can offer a safer, more time- and cost-efﬁcient monitoring method that could potentially help capture the impacts of invasive plants, especially when augmented with some degree of ground-truth data. In the case of invasive species monitoring, this method can provide on-demand imagery with the spatial and temporal resolution needed to detect the presence and/or removal of target species.",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Using Uncrewed Aerial Vehicles for Identifying the Extent of Invasive Phragmites australis in Treatment Areas Enrolled in an Adaptive Management Program,Reference 3,"This method worked well overall, achieving overall classiﬁcation accuracies >90%. These results are similar to other studies in the literature; Abeysinghe et al. [29] achieved 94.80% overall accuracy using a pixel-based neural network classiﬁer and 86.92% overall accuracy using an object-based k-nearest neighbor classiﬁer with multispectral UAV imagery and a canopy height model to map Phragmites in the Old Woman Creek estuary in northern Ohio. Conversely, Pande-Chhetri et al. [27] found that an object-based support vector machine classiﬁer returned higher accuracy results than a pixel-based classiﬁer for mapping wetland vegetation, although their overall accuracy was only 70.78%. Cohen and Lewis [30] also found success in using UAS imagery with a convolutional neural network classiﬁer to map invasive Phragmites and glossy buckthorn (Frangula alnus) for ecological monitoring purposes. In their discussion, they recommend testing their methodology at a broader variety of sites. In this study, we tested a similar methodology across a broader geographical range of sites while still maintaining relatively high accuracy results. These results suggest that UAS imagery can be a useful tool for identifying the extent of Phragmites under a range of conditions, which can be useful for ecological monitoring. Such monitoring efforts could potentially see even higher accuracy with alternative machine learning classiﬁers such as neural networks and with repeated data collections at different phenological stages ([30]).",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Using Uncrewed Aerial Vehicles for Identifying the Extent of Invasive Phragmites australis in Treatment Areas Enrolled in an Adaptive Management Program,Reference 4,Management sites in forested areas could not be evaluated with UAV imagery due to the lack of visual penetration through tree canopy cover (Figure 10).,Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Using Uncrewed Aerial Vehicles for Identifying the Extent of Invasive Phragmites australis in Treatment Areas Enrolled in an Adaptive Management Program,Reference 5,"Other sites, particularly those located on a coastline, were subject to hydrologic or geomorphologic changes that could artiﬁcially inﬂate or mask success metrics. For example, some sites that were noted as previously containing Phragmites were underwater at the time of measurement due to rising Great Lakes water levels, while another was located on a receding shoreline and eventually transitioned into almost entirely sand cover (Figure 10). Such areas might superﬁcially be labelled as “successful” treatment sites, as there was a reduction in Phragmites cover after being enrolled in the PAMF program, but attributing this success to treatment would likely be inaccurate.",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Using Uncrewed Aerial Vehicles for Identifying the Extent of Invasive Phragmites australis in Treatment Areas Enrolled in an Adaptive Management Program,Reference 6,The off-the-shelf Phantom 3 solution appeared to perform as well the NIR solution that required a custom mount.,Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Using Uncrewed Aerial Vehicles for Identifying the Extent of Invasive Phragmites australis in Treatment Areas Enrolled in an Adaptive Management Program,Reference 7,"This process was performed by multiple image interpreters using a variety of classiﬁcation rulesets (Table 4). Each ruleset was customized to ﬁt the conditions of the treatment site. Although this process is effective, it can be time consuming and labor intensive.",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Using Uncrewed Aerial Vehicles for Identifying the Extent of Invasive Phragmites australis in Treatment Areas Enrolled in an Adaptive Management Program,Reference 8,"The technology is at a price point for practical adoption, can be deployed rapidly, and can produce data that can help the manager make a decision about management without extensive processing time required by other remote sensing techniques, such as airborne or satellite data collection. UAVs can make it easier to get sufﬁciently accurate presence and extent information for areas that may be difﬁcult to get to, including areas that may need monitoring of post-treatment response. This technology has been demonstrated to be a useful tool that ﬁlls the gap between ﬁeld data collection and large investments in ﬁxed-wing or satellite platforms. This makes the results even more useful to managers whether they are federal professionals or landowners with varying levels of experience.",Drone studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Can functional leaf traits be used for monitoring wetland restoration~ A comparison between commonly used monitoring metrics and functional leaf traits,Reference 1,"Mean C is a metric used in Floristic Quality Assessment (FQA), a standardized method for calculating metrics that reflect the quality of an area based on plant species composition (Swink & Wilhelm 1979). Mean C is the average of individual species’ coefficients of conservatism (C-values), scores ranging from 0 to 10 that have been assigned to all plant species occurring within a state or region by botanists with regional or statewide expertise. C-values serve as proxies for species’ responses to anthropogenic disturbance, with higher scores assigned to species that are restricted to undegraded natural areas (Taft et al., 1997). Mean C was calculated using values assigned to Illinois species by Taft et al. (1997). Floristic Quality Index (FQI), or mean C multiplied by the square root of species richness, was considered but ultimately not used because it was redundant with richness and mean C. We used P. arundinacea cover as a proxy for non-native species cover because it was the dominant invasive species at these wetlands, and many other non-native species that were documented are naturalized and not known to aggressively compete with native species. We quantified canopy cover in each plot using a concave spherical crown densiometer to account for the impact that variation in sunlight may have on the plant community. Canopy cover readings were taken at each corner of the plot (NW, NE, SW, SE) and then averaged for an estimate of the whole plot cover. Although canopy cover is sometimes treated as a functional trait (Carlucci et al., 2020), we used it as a predictor variable because we focused on",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Determining vegetation metric robustness to environmental and methodological variables,Reference 1,"Percent non-native species cover was similar to species richness in its sensitivity to changes in season, region, year, and observer. Environmental and habitat variability within regions and between years at the study sites could drive responses in this metric.",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Monitoring ecological recovery of reclaimed wellsites~ Protocols for quantifying recovery on forested lands,Reference 1,"Evidence of invasive plants (weeds) and potential location of ingress (i.e., from adjacent disturbances, etc.)",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Multiscale Invasive Plant Monitoring~ Experiences from the Greater Everglades Restoration Area,Reference 1,"Beginning in 2008, Everglades CISMA partners began utilizing digital aerial sketch mapping (DASM) as a cost-effective means of detecting and mapping infestations of priority weeds at a landscape scale. In subsequent years, Everglades CISMA partners implemented additional monitoring and data-sharing methods to address additional monitoring needs, such as early detection of new invaders and detailed mapping for planned management actions. This article summarizes the recent efforts to utilize DASM and other monitoring tools within a multiscale approach and discusses strategies and protocols aimed at providing affordable and timely spatial information meeting multiple invasive plant monitoring objectives.",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Multiscale Invasive Plant Monitoring~ Experiences from the Greater Everglades Restoration Area,Reference 2,"The Everglades CISMA monitoring program is providing naturalresource managers within the Greater Everglades ecosystem with several monitoring and mapping products aimed at achieving affordable solutions to multiple objectives at different temporal and spatial scales. Utilizing DASM technology along with trained observers can provide reasonably accurate spatial data with rapid turnaround, even when weed densities are low (Petty et al. 2012; Rodgers et al. 2014; Schrader-Patton 2003). We have adapted DASM methods for landscape-scale inventories, small-scale statistically designed monitoring to assess patch dynamics and temporal trends among the different regions within the landscape, and detailed mapping to support treatment activities of individual managers. Together, these three approaches for monitoring exotic plants work in combination to reduce management costs. Lowand-slow grid and outlier monitoring provides the most precise possible guidance to contractors and supports determinations of treatment effectiveness. GRTS panel monitoring helps to detect change and learn about localized causes of invasions. SRF flights provide an objective basis for recognizing and communicating the scope of the challenge and the landscape scale.",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
"Native biodiversity increases with rising plant invasions in temperate, freshwater wetlands",Reference 1,"This suggests that P. arundinacea may not be the primary cause of native species displacement under certain conditions, but rather the competitive nature of P. arundinacea is ampliﬁed when in association with other inﬂuential environmental variables that impact plant community structure and dominance regimes. Native species replacement by invasive plants was observed between S1 and S2 (0–10 years), but longer-term investigations (S1 to S3, 0–20 years) revealed invasive plant replacement by native species. These ﬁndings suggest that an increase in invasive plant richness and abundance does not necessarily lead to a decrease in wetland native plant biodiversity over time, indicating that metrics to measure biodiversity alone are not sufﬁcient enough to determine the ecological impact of invasive plant",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Non-native plant removal and high rainfall years promote post-fire recovery of Artemisia californica in southern California sage scrub,Reference 1,"Nevertheless, we did not find significant effects ofnon-native removal on seedling emergence. One important caveat is that our data provided low power to test for such PLOSONE | https://doi.org/10.1371/journal.pone.0254398 July 22, 2021 8 / 16 PLOS ONE Non-native plant removal and rainfall promote post-fire California sage shrub recovery Fig 2. Seedling densities as measured in June of each year, for control (black circles) and non-native removal (green triangles) treatments. The lines represent annual mean values for control (black dotted) and removal (green solid). Seedling densities are shown on a square-root- transformed scale to reduce the distortion by outliers, but our statistical analysis used non-parametric permutation tests on the untransformed data. Control and non-native removal plots were sampled on equivalent dates each year; the series are offset to facilitate visual comparison. https://doi.org/10.1371/journal.pone.0254398.g002 effects because ofhigh variation in seedling emergence among a modest number ofplots and years (Fig 2).",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Spatially balanced sampling and ground-level imagery for vegetation monitoring on reclaimed well pads,Reference 1,Sites must be free from all species listed on WY or federal noxious weed lists; and,d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
The hierarchy of predictability in ecological restoration~ are vegetation structure and functional diversity more predictable than community composition~,Reference 1,"Monitoring the individual abundances of dominant native species and problematic invasive species will always be an important component of evaluating restoration outcomes, but given the functional redundancy that exists within ecosystems, multiple species assemblages could meet the same objective within a restoration project.",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Using a vegetation index to assess wetland condition in the Prairie Pothole Region of North America,Reference 1,"Wetland condition assessments can provide relevant and timely FIGURE 4 Percent of sampled (2020–2021) wetlands within 48 native prairie and 152 reseeded grasslands assigned to each Index of Plant Community Integrity condition category. Data represent 59 temporarily ponded and 141 seasonally ponded potholes in the United States portion of the Prairie Pothole Region of North America. data to wetland managers and conservation organizations that can be used to inform policy development, guide the allocation of resources, frame the problem of invasive and non-native plants, determine if management and restoration objectives are met, and support overall conservation efforts such as land procurement and habitat improvement",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Using a vegetation index to assess wetland condition in the Prairie Pothole Region of North America,Reference 2,"Conservation organizations can use such information to inform and guide management and conservation efforts. For example, areas characterized by relatively high-quality wetlands could be prioritized for establishment of conservation easements to protect wetlands from anthropogenic activities. Similarly, areas characterized by relatively low-quality wetlands could be prioritized for restoration or invasive species management.",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Using turf transplants to reintroduce native forest understory plants into smelter-disturbed forests,Reference 1,"There were few weedy non-target species within the plots, including Lotus corniculatus L. of the restoration seeding mix comprised of agronomic grasses and legumes used in this region. This would suggest that non-target weedy species colonizing plots are not a present threat, but long-term monitoring should be continued to determine whether fast-growing non-target species could outcompete the transplanted species in the future.",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Invasive species
Monitoring ecological recovery of reclaimed wellsites~ Protocols for quantifying recovery on forested lands,Reference 1,"Evidence of new disturbances (e.g., ATV tracks, etc.)",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Disturbances
Using a vegetation index to assess wetland condition in the Prairie Pothole Region of North America,Reference 1,"Conservation organizations can use such information to inform and guide management and conservation efforts. For example, areas characterized by relatively high-quality wetlands could be prioritized for establishment of conservation easements to protect wetlands from anthropogenic activities. Similarly, areas characterized by relatively low-quality wetlands could be prioritized for restoration or invasive species management.",d studies,GENERAL,ATTR (Ecosystem attributes covered by information),ATTR - Disturbances
