,document_id,attribute,code_lev1,code_lev2,snippet_left,snippet_right,group_folder
1610,Threshold dynamics in plant succession after tree planting in agricultural riparian zones,Species composition,Novelty,Positive sentiment,in an innovative adaptation  species scores along the prc axis were averaged for meaningful ecological groups  to bring further mechanistic insights into successional patterns  such an understanding can be taken a step further when environmental variables are monitored simultaneously with plant communities  by comparing the temporal dynamics of environmental variables with species turnover  it is possible to easily discriminate the primary drivers of plant succession  as shown here for light availability  restoration researchers and practitioners are thus encouraged to collect both species and environmental data in restored and reference habitats over time  in order to perform time series analyses,in an innovative adaptation  species scores along the prc axis were averaged for meaningful ecological groups  to bring further mechanistic insights into successional patterns  such an understanding can be taken a step further when environmental variables are monitored simultaneously with plant communities  by comparing the temporal dynamics of environmental variables with species turnover  it is possible to easily discriminate the primary drivers of plant succession  as shown here for light availability  restoration researchers and practitioners are thus encouraged to collect both species and environmental data in restored and reference habitats over time  in order to perform time series analyses,Field-based studies
363,"Remote sensing of wildfire using a small unmanned aerial system~ Post-fire mapping, vegetation recovery and damage analysis in grand bay, Mississippi~Alabama, USA",Vegetation structure,Uncertainty,Negative sentiment,in contrast  lidar has some foliage penetrating ability and an increased chance of traveling through foliage gaps  which results in a more porous and non uniform surface in forested areas  while ﬁrst returns were used for this study  these factors may still lead to misalignment between dsms derived from each source  the uas derived dsm had some irregularities in areas where the imagery was saturated  which can occur when a sensor receives too much light  i e   specular reﬂection   which may drive pixel values to the maximum allowed by the imaging sensor  additionally  homogeneous regions objects on the image surface can generate false elevation values due to lack of tie points in the imagery  which can aﬀect the accuracy of the uas derived dsm,in contrast  lidar has some foliage penetrating ability and an increased chance of traveling through foliage gaps  which results in a more porous and non uniform surface in forested areas  while ﬁrst returns were used for this study  these factors may still lead to misalignment between dsms derived from each source  the uas derived dsm had some irregularities in areas where the imagery was saturated  which can occur when a sensor receives too much light  i e   specular reﬂection   which may drive pixel values to the maximum allowed by the imaging sensor  additionally  homogeneous regions objects on the image surface can generate false elevation values due to lack of tie points in the imagery  which can aﬀect the accuracy of the uas derived dsm,Drone-assisted studies
1335,Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,Spatial mosaic,Uncertainty,Positive sentiment,in order to better evaluate the classiﬁcation effect of the sn dgcn classiﬁcation model in practical application  three community sample areas of dominant species  constructive species  and companion species were visualized for classiﬁcation  as are shown in figure 10  after comparing with the ground survey records  the spatial distribution between each ground object matched the actual distribution  which shows that the algorithm in this paper has good generalization ability and is advantageous in the task of the classiﬁcation of vegetation communities in desert steppes,in order to better evaluate the classiﬁcation effect of the sn dgcn classiﬁcation model in practical application  three community sample areas of dominant species  constructive species  and companion species were visualized for classiﬁcation  as are shown in figure 10  after comparing with the ground survey records  the spatial distribution between each ground object matched the actual distribution  which shows that the algorithm in this paper has good generalization ability and is advantageous in the task of the classiﬁcation of vegetation communities in desert steppes,Drone-assisted studies
1114,Comparison of leaf-off and leaf-on combined UAV imagery and airborne LiDAR for assessment of a post-mining site terrain and vegetation structure~ Prospects for monitoring hazards and restoration success,Topography,Uncertainty,Neutral sentiment,in our study area  the accuracy of dtms in steppes was better for dtmlidar  with rmse of 0 12 m  but dtmwinter also achieved a very good result  with rmse of 0 21 m   dtmwinter error was skewed slightly positively  positive elevation errors can be attributed to the effect of short vegetation  which is often misclassified as ground by the filtering algorithms due to the small height difference between the vegetation and terrain  meng  currit    zhao  2010,in our study area  the accuracy of dtms in steppes was better for dtmlidar  with rmse of 0 12 m  but dtmwinter also achieved a very good result  with rmse of 0 21 m   dtmwinter error was skewed slightly positively  positive elevation errors can be attributed to the effect of short vegetation  which is often misclassified as ground by the filtering algorithms due to the small height difference between the vegetation and terrain  meng  currit    zhao  2010,Drone-assisted studies
1111,Comparison of leaf-off and leaf-on combined UAV imagery and airborne LiDAR for assessment of a post-mining site terrain and vegetation structure~ Prospects for monitoring hazards and restoration success,Topography,Uncertainty,Positive sentiment,in our study area  the accuracy of dtms in steppes was better for dtmlidar  with rmse of 0 12 m  but dtmwinter also achieved a very good result  with rmse of 0 21 m   dtmwinter error was skewed slightly positively  positive elevation errors can be attributed to the effect of short vegetation  which is often misclassified as ground by the filtering algorithms due to the small height difference between the vegetation and terrain  meng  currit    zhao  2010,in our study area  the accuracy of dtms in steppes was better for dtmlidar  with rmse of 0 12 m  but dtmwinter also achieved a very good result  with rmse of 0 21 m   dtmwinter error was skewed slightly positively  positive elevation errors can be attributed to the effect of short vegetation  which is often misclassified as ground by the filtering algorithms due to the small height difference between the vegetation and terrain  meng  currit    zhao  2010,Drone-assisted studies
1116,Comparison of leaf-off and leaf-on combined UAV imagery and airborne LiDAR for assessment of a post-mining site terrain and vegetation structure~ Prospects for monitoring hazards and restoration success,Topography,RELI - (Information acquistion reliant on...),Phenology,in our study area  the accuracy of dtms in steppes was better for dtmlidar  with rmse of 0 12 m  but dtmwinter also achieved a very good result  with rmse of 0 21 m   dtmwinter error was skewed slightly positively  positive elevation errors can be attributed to the effect of short vegetation  which is often misclassified as ground by the filtering algorithms due to the small height difference between the vegetation and terrain  meng  currit    zhao  2010,in our study area  the accuracy of dtms in steppes was better for dtmlidar  with rmse of 0 12 m  but dtmwinter also achieved a very good result  with rmse of 0 21 m   dtmwinter error was skewed slightly positively,Drone-assisted studies
1115,Comparison of leaf-off and leaf-on combined UAV imagery and airborne LiDAR for assessment of a post-mining site terrain and vegetation structure~ Prospects for monitoring hazards and restoration success,Topography,SENS (Drone sensor),LiDAR,in our study area  the accuracy of dtms in steppes was better for dtmlidar  with rmse of 0 12 m  but dtmwinter also achieved a very good result  with rmse of 0 21 m   dtmwinter error was skewed slightly positively  positive elevation errors can be attributed to the effect of short vegetation  which is often misclassified as ground by the filtering algorithms due to the small height difference between the vegetation and terrain  meng  currit    zhao  2010,in our study area  the accuracy of dtms in steppes was better for dtmlidar  with rmse of 0 12 m  but dtmwinter also achieved a very good result  with rmse of 0 21 m   dtmwinter error was skewed slightly positively  positive elevation errors can be attributed to the effect of short vegetation  which is often misclassified as ground by the filtering algorithms due to the small height difference between the vegetation and terrain  meng  currit    zhao  2010,Drone-assisted studies
828,Use of vegetation sampling and analysis to detect a problem within a portion of a prairie restoration project,"Plant func. type
composition",Complexity,Positive sentiment,in subarea 1c  native cover generally increased over 5 years  while non native cover generally decreased  since a nonnative grass is a signiﬁcant portion of the cover in subarea 1c  this could be an indicator of a gradual maturation of the prairie over time  five years of quantitative data are unique for the area  a longer quantitative dataset to follow progress would be particularly valuable for restoration practitioners,in subarea 1c  native cover generally increased over 5 years  while non native cover generally decreased  since a nonnative grass is a signiﬁcant portion of the cover in subarea 1c  this could be an indicator of a gradual maturation of the prairie over time  five years of quantitative data are unique for the area  a longer quantitative dataset to follow progress would be particularly valuable for restoration practitioners,Field-based studies
824,Use of vegetation sampling and analysis to detect a problem within a portion of a prairie restoration project,Fractional veg. cover,Complexity,Positive sentiment,in subarea 1c  native cover generally increased over 5 years  while non native cover generally decreased  since a nonnative grass is a signiﬁcant portion of the cover in subarea 1c  this could be an indicator of a gradual maturation of the prairie over time  five years of quantitative data are unique for the area  a longer quantitative dataset to follow progress would be particularly valuable for restoration practitioners,in subarea 1c  native cover generally increased over 5 years  while non native cover generally decreased  since a nonnative grass is a signiﬁcant portion of the cover in subarea 1c  this could be an indicator of a gradual maturation of the prairie over time  five years of quantitative data are unique for the area  a longer quantitative dataset to follow progress would be particularly valuable for restoration practitioners,Field-based studies
1678,EFFECT OF TEXTURAL FEATURES FOR LANDCOVER CLASSIFICATION OF UAV MULTISPECTRAL IMAGERY OF A SALT MARSH RESTORATION SITE,Species composition,Complexity,Negative sentiment,in this salt marsh  stages of restoration included previous vegetation die off  s  pectinata   colonization and spread of bioengineering halophytes  s  alterniflora   and finally colonization of highelevation halophytes  including s  patens  and formation of distinct marsh zonation  virgin et al  2020   the classification used in the present study would be unable to identify these stages because key species s  pectinata and s  alterniflora were grouped together in the  halophytes and semi halophytes  class,in this salt marsh  stages of restoration included previous vegetation die off  s  pectinata   colonization and spread of bioengineering halophytes  s  alterniflora   and finally colonization of highelevation halophytes  including s  patens  and formation of distinct marsh zonation  virgin et al  2020   the classification used in the present study would be unable to identify these stages because key species s  pectinata and s  alterniflora were grouped together in the  halophytes and semi halophytes  class,Drone-assisted studies
1306,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,Species richness,RELI - (Information acquistion reliant on...),Flight parameters,increasing levels of species diversity correspond to increased spectral diversity  as has been shown in previous studies  however  after reaching the 506 maximum level of species diversity  the curve turns negative indicating an increase in spectral diversity as shannon s diversity index decreases  this variation in the relationship can be attributed to two phenomena  on one hand  the sensitivity of spectral diversity to biomass  fig  6a  could mask the effect of species diversity  this is indicated by the fact that all the plotted points around the negative section of the loess fitted curve in fig  6b correspond to reed swamp  which is characterized by a high biomass and a relatively low level of species diversity  on the other hand  the very high spatial resolution imagery provided by sensors mounted on uavs may lead to artefacts  for instance  in communities characterized by tall vegetation such as reed swamp  some pixels may fall in areas with direct sunlight 507 508 509 510 511 512 513 514 while others may fall in shaded areas or gaps between individual plants  nagendra et al   2010   therefore increasing the spectral variability of the sample  these results highlight the need to account for the nature and characteristics of spectral diversity when designing and adapting sampling strategies for training plant community classification algorithms,increasing levels of species diversity correspond to increased spectral diversity  as has been shown in previous studies  however  after reaching the 506 maximum level of species diversity  the curve turns negative indicating an increase in spectral diversity as shannon s diversity index decreases  this variation in the relationship can be attributed to two phenomena  on one hand  the sensitivity of spectral diversity to biomass  fig  6a  could mask the effect of species diversity  this is indicated by the fact that all the plotted points around the negative section of the loess fitted curve in fig  6b correspond to reed swamp  which is characterized by a high biomass and a relatively low level of species diversity  on the other hand  the very high spatial resolution imagery provided by sensors mounted on uavs may lead to artefacts  for instance  in communities characterized by tall vegetation such as reed swamp  some pixels may fall in areas with direct sunlight 507 508 509 510 511 512 513 514 while others may fall in shaded areas or gaps between individual plants  nagendra et al   2010   therefore increasing the spectral variability of the sample  these results highlight the need to account for the nature and characteristics of spectral diversity when designing and adapting sampling strategies for training plant community classification algorithms,Drone-assisted studies
1300,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,Species richness,Uncertainty,Negative sentiment,increasing levels of species diversity correspond to increased spectral diversity  as has been shown in previous studies  however  after reaching the 506 maximum level of species diversity  the curve turns negative indicating an increase in spectral diversity as shannon s diversity index decreases  this variation in the relationship can be attributed to two phenomena  on one hand  the sensitivity of spectral diversity to biomass  fig  6a  could mask the effect of species diversity  this is indicated by the fact that all the plotted points around the negative section of the loess fitted curve in fig  6b correspond to reed swamp  which is characterized by a high biomass and a relatively low level of species diversity  on the other hand  the very high spatial resolution imagery provided by sensors mounted on uavs may lead to artefacts  for instance  in communities characterized by tall vegetation such as reed swamp  some pixels may fall in areas with direct sunlight 507 508 509 510 511 512 513 514 while others may fall in shaded areas or gaps between individual plants  nagendra et al   2010   therefore increasing the spectral variability of the sample  these results highlight the need to account for the nature and characteristics of spectral diversity when designing and adapting sampling strategies for training plant community classification algorithms,increasing levels of species diversity correspond to increased spectral diversity  as has been shown in previous studies  however  after reaching the 506 maximum level of species diversity  the curve turns negative indicating an increase in spectral diversity as shannon s diversity index decreases  this variation in the relationship can be attributed to two phenomena  on one hand  the sensitivity of spectral diversity to biomass  fig  6a  could mask the effect of species diversity  this is indicated by the fact that all the plotted points around the negative section of the loess fitted curve in fig  6b correspond to reed swamp  which is characterized by a high biomass and a relatively low level of species diversity  on the other hand  the very high spatial resolution imagery provided by sensors mounted on uavs may lead to artefacts  for instance  in communities characterized by tall vegetation such as reed swamp  some pixels may fall in areas with direct sunlight 507 508 509 510 511 512 513 514 while others may fall in shaded areas or gaps between individual plants  nagendra et al   2010   therefore increasing the spectral variability of the sample  these results highlight the need to account for the nature and characteristics of spectral diversity when designing and adapting sampling strategies for training plant community classification algorithms,Drone-assisted studies
1309,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,Species richness,SENS (Drone sensor),Multispec.,increasing levels of species diversity correspond to increased spectral diversity  as has been shown in previous studies  however  after reaching the 506 maximum level of species diversity  the curve turns negative indicating an increase in spectral diversity as shannon s diversity index decreases  this variation in the relationship can be attributed to two phenomena  on one hand  the sensitivity of spectral diversity to biomass  fig  6a  could mask the effect of species diversity  this is indicated by the fact that all the plotted points around the negative section of the loess fitted curve in fig  6b correspond to reed swamp  which is characterized by a high biomass and a relatively low level of species diversity  on the other hand  the very high spatial resolution imagery provided by sensors mounted on uavs may lead to artefacts  for instance  in communities characterized by tall vegetation such as reed swamp  some pixels may fall in areas with direct sunlight 507 508 509 510 511 512 513 514 while others may fall in shaded areas or gaps between individual plants  nagendra et al   2010   therefore increasing the spectral variability of the sample  these results highlight the need to account for the nature and characteristics of spectral diversity when designing and adapting sampling strategies for training plant community classification algorithms,increasing levels of species diversity correspond to increased spectral diversity  as has been shown in previous studies  however  after reaching the 506 maximum level of species diversity  the curve turns negative indicating an increase in spectral diversity as shannon s diversity index decreases  this variation in the relationship can be attributed to two phenomena  on one hand  the sensitivity of spectral diversity to biomass  fig  6a  could mask the effect of species diversity  this is indicated by the fact that all the plotted points around the negative section of the loess fitted curve in fig  6b correspond to reed swamp  which is characterized by a high biomass and a relatively low level of species diversity  on the other hand  the very high spatial resolution imagery provided by sensors mounted on uavs may lead to artefacts  for instance  in communities characterized by tall vegetation such as reed swamp  some pixels may fall in areas with direct sunlight 507 508 509 510 511 512 513 514 while others may fall in shaded areas or gaps between individual plants  nagendra et al   2010   therefore increasing the spectral variability of the sample  these results highlight the need to account for the nature and characteristics of spectral diversity when designing and adapting sampling strategies for training plant community classification algorithms,Drone-assisted studies
1308,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,Species richness,RELI - (Information acquistion reliant on...),Weather,increasing levels of species diversity correspond to increased spectral diversity  as has been shown in previous studies  however  after reaching the 506 maximum level of species diversity  the curve turns negative indicating an increase in spectral diversity as shannon s diversity index decreases  this variation in the relationship can be attributed to two phenomena  on one hand  the sensitivity of spectral diversity to biomass  fig  6a  could mask the effect of species diversity  this is indicated by the fact that all the plotted points around the negative section of the loess fitted curve in fig  6b correspond to reed swamp  which is characterized by a high biomass and a relatively low level of species diversity  on the other hand  the very high spatial resolution imagery provided by sensors mounted on uavs may lead to artefacts  for instance  in communities characterized by tall vegetation such as reed swamp  some pixels may fall in areas with direct sunlight 507 508 509 510 511 512 513 514 while others may fall in shaded areas or gaps between individual plants  nagendra et al   2010   therefore increasing the spectral variability of the sample  these results highlight the need to account for the nature and characteristics of spectral diversity when designing and adapting sampling strategies for training plant community classification algorithms,increasing levels of species diversity correspond to increased spectral diversity  as has been shown in previous studies  however  after reaching the 506 maximum level of species diversity  the curve turns negative indicating an increase in spectral diversity as shannon s diversity index decreases  this variation in the relationship can be attributed to two phenomena  on one hand  the sensitivity of spectral diversity to biomass  fig  6a  could mask the effect of species diversity  this is indicated by the fact that all the plotted points around the negative section of the loess fitted curve in fig  6b correspond to reed swamp  which is characterized by a high biomass and a relatively low level of species diversity  on the other hand  the very high spatial resolution imagery provided by sensors mounted on uavs may lead to artefacts  for instance  in communities characterized by tall vegetation such as reed swamp  some pixels may fall in areas with direct sunlight 507 508 509 510 511 512 513 514 while others may fall in shaded areas or gaps between individual plants  nagendra et al   2010   therefore increasing the spectral variability of the sample  these results highlight the need to account for the nature and characteristics of spectral diversity when designing and adapting sampling strategies for training plant community classification algorithms,Drone-assisted studies
1307,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,Species richness,RELI - (Information acquistion reliant on...),Veg density,increasing levels of species diversity correspond to increased spectral diversity  as has been shown in previous studies  however  after reaching the 506 maximum level of species diversity  the curve turns negative indicating an increase in spectral diversity as shannon s diversity index decreases  this variation in the relationship can be attributed to two phenomena  on one hand  the sensitivity of spectral diversity to biomass  fig  6a  could mask the effect of species diversity  this is indicated by the fact that all the plotted points around the negative section of the loess fitted curve in fig  6b correspond to reed swamp  which is characterized by a high biomass and a relatively low level of species diversity  on the other hand  the very high spatial resolution imagery provided by sensors mounted on uavs may lead to artefacts  for instance  in communities characterized by tall vegetation such as reed swamp  some pixels may fall in areas with direct sunlight 507 508 509 510 511 512 513 514 while others may fall in shaded areas or gaps between individual plants  nagendra et al   2010   therefore increasing the spectral variability of the sample  these results highlight the need to account for the nature and characteristics of spectral diversity when designing and adapting sampling strategies for training plant community classification algorithms,increasing levels of species diversity correspond to increased spectral diversity  as has been shown in previous studies  however  after reaching the 506 maximum level of species diversity  the curve turns negative indicating an increase in spectral diversity as shannon s diversity index decreases  this variation in the relationship can be attributed to two phenomena  on one hand  the sensitivity of spectral diversity to biomass  fig  6a  could mask the effect of species diversity  this is indicated by the fact that all the plotted points around the negative section of the loess fitted curve in fig  6b correspond to reed swamp  which is characterized by a high biomass and a relatively low level of species diversity  on the other hand  the very high spatial resolution imagery provided by sensors mounted on uavs may lead to artefacts  for instance  in communities characterized by tall vegetation such as reed swamp  some pixels may fall in areas with direct sunlight 507 508 509 510 511 512 513 514 while others may fall in shaded areas or gaps between individual plants  nagendra et al   2010   therefore increasing the spectral variability of the sample  these results highlight the need to account for the nature and characteristics of spectral diversity when designing and adapting sampling strategies for training plant community classification algorithms,Drone-assisted studies
1364,Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Species composition,RELI - (Information acquistion reliant on...),Phenology,lastly  species such as c  ciliaris and s  spinescens can show different colouration after rain  timing the capture per the season may provide more variation between species  thus improving classiﬁcation  this highlights the need to ensure consistent timing if undertaking repeat monitoring,lastly  species such as c  ciliaris and s  spinescens can show different colouration after rain  timing the capture per the season may provide more variation between species  thus improving classiﬁcation  this highlights the need to ensure consistent timing if undertaking repeat monitoring,Drone-assisted studies
430,Unmanned Aircraft System Photogrammetry for Mapping Diverse Vegetation Species in a Heterogeneous Coastal Wetland,Vegetation structure,Uncertainty,Neutral sentiment,li et al  2017  cao et al  2018 prošek and šímová 2019   as previously stated  the vertical variables used in this study were calculated using the level 1 dsm and therefore were absolute height above navd88  as the study area was densely vegetated  we were not able to generate an accurate dem and subsequent canopy height model  chm   which may improve the species mapping procedure  moreover  we did not perform any data correction on the level 1 dsm meaning it likely contained a fair amount of noise and error  as applications in uas photogrammetry grow  tools and methods for uasderived photogrammetric point cloud filtering  classification  and interpolation are emerging,li et al  2017  cao et al  2018 prošek and šímová 2019   as previously stated  the vertical variables used in this study were calculated using the level 1 dsm and therefore were absolute height above navd88  as the study area was densely vegetated  we were not able to generate an accurate dem and subsequent canopy height model  chm   which may improve the species mapping procedure  moreover  we did not perform any data correction on the level 1 dsm meaning it likely contained a fair amount of noise and error  as applications in uas photogrammetry grow  tools and methods for uasderived photogrammetric point cloud filtering  classification  and interpolation are emerging,Drone-assisted studies
1117,Comparison of leaf-off and leaf-on combined UAV imagery and airborne LiDAR for assessment of a post-mining site terrain and vegetation structure~ Prospects for monitoring hazards and restoration success,Topography,RELI - (Information acquistion reliant on...),Soil moisture,lidar ground height estimation is particularly problematic for aquatic vegetation due to the weak laser backscatter caused by water absorption  as most lidar systems operate in the infrared region  like the one adopted in this study   free water surfaces and saturated soils dampen the returning signal  hopkinson et al   2005,lidar ground height estimation is particularly problematic for aquatic vegetation due to the weak laser backscatter caused by water absorption  as most lidar systems operate in the infrared region  like the one adopted in this study   free water surfaces and saturated soils dampen the returning signal  hopkinson et al   2005,Drone-assisted studies
595,Comparing survey methods for monitoring vegetation change through time in a restored peatland,"Plant func. type
composition",Uncertainty,Negative sentiment,lpi cover estimates are consistently higher than visual cover estimates obtained with a pp method  this was the case for every plant group or species  and nearly every year sampled,highlight how lpi cover estimates are consistently higher than visual cover estimates obtained with a pp method  this was the case for every plant group or species  and nearly every year sampled,Field-based studies
594,Comparing survey methods for monitoring vegetation change through time in a restored peatland,Fractional veg. cover,Uncertainty,Negative sentiment,lpi cover estimates are consistently higher than visual cover estimates obtained with a pp method  this was the case for every plant group or species  and nearly every year sampled,highlight how lpi cover estimates are consistently higher than visual cover estimates obtained with a pp method  this was the case for every plant group or species  and nearly every year sampled,Field-based studies
713,Monitoring Geomorphic and Traditional Post-Mine Reclamation using Digital Imagery~ Vegetative Heterogeneity and Sampling Efficiency,Fractional veg. cover,Complexity,Positive sentiment,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,Field-based studies
714,Monitoring Geomorphic and Traditional Post-Mine Reclamation using Digital Imagery~ Vegetative Heterogeneity and Sampling Efficiency,Species composition,Complexity,Positive sentiment,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,Field-based studies
715,Monitoring Geomorphic and Traditional Post-Mine Reclamation using Digital Imagery~ Vegetative Heterogeneity and Sampling Efficiency,Species richness,Complexity,Positive sentiment,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,Field-based studies
716,Monitoring Geomorphic and Traditional Post-Mine Reclamation using Digital Imagery~ Vegetative Heterogeneity and Sampling Efficiency,Vegetation structure,Complexity,Positive sentiment,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,Field-based studies
717,Monitoring Geomorphic and Traditional Post-Mine Reclamation using Digital Imagery~ Vegetative Heterogeneity and Sampling Efficiency,Fractional veg. cover,FIELD (Field sampling data),Plant data,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,Field-based studies
718,Monitoring Geomorphic and Traditional Post-Mine Reclamation using Digital Imagery~ Vegetative Heterogeneity and Sampling Efficiency,Species composition,FIELD (Field sampling data),Plant data,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,Field-based studies
719,Monitoring Geomorphic and Traditional Post-Mine Reclamation using Digital Imagery~ Vegetative Heterogeneity and Sampling Efficiency,Species richness,FIELD (Field sampling data),Plant data,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,Field-based studies
720,Monitoring Geomorphic and Traditional Post-Mine Reclamation using Digital Imagery~ Vegetative Heterogeneity and Sampling Efficiency,Vegetation structure,FIELD (Field sampling data),Plant data,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,lpi not only estimated richness and cover  but also provided data for vegetation height and canopy structure  measures relevant for assessment of wildlife habitat and bond release   miller and hobbs  2007,Field-based studies
960,Using Uncrewed Aerial Vehicles for Identifying the Extent of Invasive Phragmites australis in Treatment Areas Enrolled in an Adaptive Management Program,"Individuals
(Indicators/Invasives)",Uncertainty,Negative sentiment,management sites in forested areas could not be evaluated with uav imagery due to the lack of visual penetration through tree canopy cover  figure 10,management sites in forested areas could not be evaluated with uav imagery due to the lack of visual penetration through tree canopy cover  figure 10,Drone-assisted studies
1504,Augmenting size models for Pinus strobiformis seedlings using dimensional estimates from unmanned aircraft systems,"Individuals
(Indicators/Invasives)",Uncertainty,Negative sentiment,mate seedling size  once the seedlings are not spatially distinguishable from one another from above  estimating seedling size using uas becomes nonviable,mate seedling size  once the seedlings are not spatially distinguishable from one another from above  estimating seedling size using uas becomes nonviable,Drone-assisted studies
1505,Augmenting size models for Pinus strobiformis seedlings using dimensional estimates from unmanned aircraft systems,"Individuals
(Indicators/Invasives)",SUCC (Successional stages of ecosites),Intermediate,mate seedling size  once the seedlings are not spatially distinguishable from one another from above  estimating seedling size using uas becomes nonviable,mate seedling size  once the seedlings are not spatially distinguishable from one another from above  estimating seedling size using uas becomes nonviable,Drone-assisted studies
1506,Augmenting size models for Pinus strobiformis seedlings using dimensional estimates from unmanned aircraft systems,"Individuals
(Indicators/Invasives)",SUCC (Successional stages of ecosites),Pioneer,mate seedling size  once the seedlings are not spatially distinguishable from one another from above  estimating seedling size using uas becomes nonviable,mate seedling size  once the seedlings are not spatially distinguishable from one another from above  estimating seedling size using uas becomes nonviable,Drone-assisted studies
152,Improving the efficiency and accuracy of evaluating Aridland riparian habitat restoration using unmanned aerial vehicles,Species composition,RELI - (Information acquistion reliant on...),Phenology,michez et al    2016  distinguished between individual species in belgium riparian forest  alder  ash  sycamore maple  pine  and willow species  with relatively high accuracies  producer s accuracies   75   user s accuracies   77    however  their study focused on species composition and identiﬁcation of diseased trees  not on percent cover  by sampling late in the year  they used phenological differences to distinguish between evergreen pine trees and deciduous riparian trees that had lost foliage  but this would not work well to estimate foliar cover  as was the purpose of this study,michez et al    2016  distinguished between individual species in belgium riparian forest  alder  ash  sycamore maple  pine  and willow species  with relatively high accuracies  producer s accuracies   75   user s accuracies   77    however  their study focused on species composition and identiﬁcation of diseased trees  not on percent cover  by sampling late in the year  they used phenological differences to distinguish between evergreen pine trees and deciduous riparian trees that had lost foliage  but this would not work well to estimate foliar cover  as was the purpose of this study,Drone-assisted studies
150,Improving the efficiency and accuracy of evaluating Aridland riparian habitat restoration using unmanned aerial vehicles,"Plant func. type
composition",RELI - (Information acquistion reliant on...),Weather,misclassiﬁcation in dunford et al    2009  study also resulted from changes in radiometric conditions across the landscape due to variable light conditions during acquisition  even though we calibrated the images before processing  it is difﬁcult to assess the extent to which our classiﬁcation error results from 496 conducting ﬂights over the course of several days  with inevitable differences in light conditions,misclassiﬁcation in dunford et al    2009  study also resulted from changes in radiometric conditions across the landscape due to variable light conditions during acquisition  even though we calibrated the images before processing  it is difﬁcult to assess the extent to which our classiﬁcation error results from 496 conducting ﬂights over the course of several days  with inevitable differences in light conditions,Drone-assisted studies
1419,Visualizing the Spatiotemporal Trends of Thermal Characteristics in a Peatland Plantation Forest in Indonesia~ Pilot Test Using Unmanned Aerial Systems (UASs),"Plant func. type
composition",Uncertainty,Negative sentiment,misclassiﬁcation of trees and shrubs because those classes have similar band information in some areas  another is the case of bare lands and water  which fall into the shadow class  because some areas with casting shadows have probably had similarity with the darker shadow areas  however  the result is good enough to be interpreted as representative of the area,misclassiﬁcation of trees and shrubs because those classes have similar band information in some areas,Drone-assisted studies
193,Monitoring ecological characteristics of a tallgrass prairie using an unmanned aerial vehicle,"Productivity
(Health/Biomass)",Uncertainty,Neutral sentiment,models based on each moment and a model with all moments were estimated using ridge regression with model training based on a subset of 15 sites  each tested for signiﬁcant error reduction against a null model  we predicted mean graminoid cover  mean dead aboveground biomass  mean dry mass  and mean soil k with signiﬁcant reductions in cross validated root mean square error,models based on each moment and a model with all moments were estimated using ridge regression with model training based on a subset of 15 sites  each tested for signiﬁcant error reduction against a null model  we predicted mean graminoid cover  mean dead aboveground biomass  mean dry mass  and mean soil k with signiﬁcant reductions in cross validated root mean square error,Drone-assisted studies
